id,sources,relationship,rationale
RUN-01,"NIST-SSDF;SPRING-BOOT",inspired,"Supported component selection and explicit platform compatibility"
RUN-02,"NIST-SSDF;SPRING-BOOT",inspired,"Controlled dependencies and build plugins support repeatable upgrades"
RUN-03,"OWASP-ASVS;SPRING-BOOT",practitioner-synthesis,"Typed validated configuration reduces unsafe environment drift"
RUN-04,"GOOGLE-SRE;SPRING-BOOT",practitioner-synthesis,"Explicit bounded resources support predictable runtime behavior"
CMP-01,"JAVA-MIGRATION;NIST-SSDF",inspired,"Removed and internal JDK APIs are direct runtime migration risks"
CMP-02,SPRING-BOOT-UPGRADE,inspired,"Spring migration guidance identifies changed APIs and properties"
CMP-03,"JAVA-MIGRATION;SPRING-BOOT-UPGRADE",practitioner-synthesis,"Namespace bytecode and integration compatibility can block target adoption"
CMP-04,"JAVA-MIGRATION;SPRING-BOOT-UPGRADE",practitioner-synthesis,"Extension points and changed defaults require explicit migration review"
ARC-01,"DORA;SPRING-FRAMEWORK",practitioner-synthesis,"Enforceable dependency direction supports independently changeable code"
ARC-02,"DORA;SPRING-FRAMEWORK",practitioner-synthesis,"Framework-neutral business logic reduces upgrade coupling"
ARC-03,"DORA;SPRING-FRAMEWORK",practitioner-synthesis,"Stable adapters make external dependencies replaceable and testable"
ARC-04,"DORA;SPRING-FRAMEWORK",practitioner-synthesis,"Explicit dependency injection reduces hidden framework coupling"
DAT-01,DORA,practitioner-synthesis,"Additive versioned migrations support compatible incremental change"
DAT-02,SPRING-FRAMEWORK,inspired,"Explicit ORM semantics reduce persistence behavior surprises"
DAT-03,SPRING-FRAMEWORK,inspired,"Explicit transaction semantics preserve correctness across framework changes"
DAT-04,"GOOGLE-SRE;SPRING-FRAMEWORK",practitioner-synthesis,"Bounded data access constrains resource and scaling risk"
REL-01,"GOOGLE-SRE;SPRING-FRAMEWORK",practitioner-synthesis,"Preserved exception semantics prevent hidden failure"
REL-02,GOOGLE-SRE,inspired,"Deadlines bounded retries and isolation constrain dependency failure"
REL-03,GOOGLE-SRE,practitioner-synthesis,"Duplicate and poison-message handling preserve asynchronous correctness"
REL-04,"GOOGLE-SRE;SPRING-FRAMEWORK",practitioner-synthesis,"Bounded concurrency prevents resource exhaustion and unsafe state"
SEC-01,"NIST-SSDF;OWASP-SAMM",inspired,"Protect source and packaged configuration from credential exposure"
SEC-02,"OWASP-ASVS;OWASP-SAMM",inspired,"Verify authentication and authorization at exposed boundaries"
SEC-03,"OWASP-ASVS;OWASP-SAMM",inspired,"Validate untrusted input and protect sensitive sinks"
SEC-04,"NIST-SSDF;OWASP-SAMM",inspired,"Component analysis supports vulnerability and supply-chain risk management"
TST-01,"DORA;NIST-SSDF",practitioner-synthesis,"Regression evidence constrains modernization risk"
TST-02,"NIST-SSDF;SPRING-FRAMEWORK",practitioner-synthesis,"Representative integration verification exposes framework behavior"
TST-03,"DORA;NIST-SSDF",practitioner-synthesis,"Automated contract verification supports compatible independent change"
TST-04,"NIST-SSDF;SPRING-FRAMEWORK",practitioner-synthesis,"Deterministic isolated tests provide trustworthy migration feedback"
OBS-01,"GOOGLE-SRE;SPRING-BOOT",practitioner-synthesis,"Correlated safe logs support source-level diagnostic readiness"
OBS-02,"GOOGLE-SRE;SPRING-BOOT",inspired,"Boundary metrics expose traffic errors latency and saturation"
OBS-03,"GOOGLE-SRE;SPRING-BOOT",inspired,"Trace propagation connects distributed and asynchronous work"
OBS-04,"GOOGLE-SRE;SPRING-BOOT",practitioner-synthesis,"Health and readiness instrumentation expose usable application state"
MNT-01,DORA,practitioner-synthesis,"Controlled complexity makes incremental change safer"
MNT-02,"DORA;NIST-SSDF",practitioner-synthesis,"Removing unused and duplicated code reduces migration surface"
MNT-03,DORA,practitioner-synthesis,"Scoped actionable debt markers clarify remaining migration work"
MNT-04,"NIST-SSDF;DORA",practitioner-synthesis,"Versioned static analysis provides repeatable code-quality feedback"
API-01,"OWASP-ASVS;SPRING-FRAMEWORK",practitioner-synthesis,"Machine-readable contracts make exposed behavior reviewable"
API-02,"DORA;SPRING-FRAMEWORK",practitioner-synthesis,"Backward-compatible contracts support incremental migration"
API-03,"OWASP-ASVS;SPRING-FRAMEWORK",practitioner-synthesis,"Consistent public semantics reduce consumer migration risk"
API-04,"OWASP-ASVS;SPRING-FRAMEWORK",practitioner-synthesis,"Explicit wire-format rules prevent silent compatibility breaks"
